Rg(e1972,e3750) 1
Q(e2138,e1261) -1
E(e283,e1037) -1
Q(e4585,e4499) -1
Ra(e2539,e1609) 1
Q(e4981,e201) 1
B(e1429,e1387) -1
E(e574,e823) -1
E(e1428,e472) -1
Ra(e466,e1746) 1
Q(e52,e213) 1
E(e472,e5886) -1
Iw(e325,e6013) -1
Ra(e219,e216) -1
E(e4056,e3593) -1
Rg(e1568,e3697) 1
Rg(e4835,e974) -1
Q(e998,e1805) 1
Ra(e1866,e3062) -1
ML(e24,e1647) -1
Ra(e4449,e2867) 1
ML(e86,e1828) -1
ML(e514,e4289) -1
ML(e94,e37) -1
Rg(e4286,e3061) 1
Ra(e2009,e2497) 1
E(e2559,e1431) -1
Q(e2857,e2039) -1
Ra(e261,e734) 1
Rg(e266,e1566) -1
Rg(e622,e5816) 1
E(e980,e370) -1
Ra(e1295,e446) 1
Ra(e1159,e1776) 1
Q(e1575,e4375) 1
B(e31,e433) 1
Rg(e1558,e724) 1
Q(e517,e219) 1
Rg(e1758,e3611) -1
E(e1749,e1589) -1
Rg(e6396,e6396) -1
Rg(e1809,e2714) 1
Ra(e3886,e2258) 1
ML(e3425,e443) -1
ML(e81,e6122) -1
Ra(e309,e743) -1
ML(e5415,e93) -1
Q(e371,e1103) 1
Rg(e2253,e2824) 1
ML(e4093,e472) -1
Ra(e513,e5316) -1
Rg(e1211,e711) 1
Ra(e3804,e5409) -1
Rg(e1494,e446) 1
E(e190,e443) -1
Q(e1411,e140) 1
E(e532,e2576) -1
Ra(e736,e816) 1
Q(e123,e2075) 1
Rg(e218,e1776) 1
ML(e4177,e1252) -1
Ra(e2737,e4201) 1
Ra(e472,e5543) -1
B(e2037,e510) 1
ML(e4382,e1488) -1
Q(e330,e4029) -1
Ra(e635,e4870) 1
Ra(e577,e224) 1
ML(e2678,e2571) -1
Rg(e5618,e1400) 1
Rg(e1357,e4247) 1
E(e4442,e1432) -1
Rg(e443,e2218) 1
Q(e1888,e2003) 1
ML(e4290,e3554) -1
Ra(e781,e341) 1
B(e343,e2943) -1
Q(e3128,e52) 1
Ra(e2574,e2574) -1
Rg(e4866,e1954) 1
Rg(e237,e6249) 1
Ra(e326,e1214) -1
Q(e4180,e1669) 1
ML(e947,e999) -1
E(e400,e150) -1
Rg(e218,e743) 1
E(e658,e711) 1
E(e298,e2235) -1
Rg(e824,e262) 1
Q(e485,e219) -1
Q(e1250,e2571) 1
Ra(e5809,e510) -1
Ra(e5663,e711) -1
Rg(e1155,e4627) 1
Rg(e446,e743) -1
Rg(e4130,e3522) -1
Q(e908,e38) -1
Rg(e1255,e132) 1
ML(e181,e837) -1
Ra(e1067,e4466) -1
An(e4568,e4568) -1
ML(e23,e5422) -1
E(e485,e499) 1
Ra(e3202,e4395) 1
B(e386,e2590) -1
Rg(e219,e2755) -1
ML(e76,e124) -1
Q(e1455,e2421) 1
Rg(e2456,e333) 1
E(e919,e953) 1
E(e64,e1490) 1
E(e2086,e4487) -1
E(e375,e442) -1
Q(e472,e17) 1
ML(e5666,e1378) -1
Q(e413,e823) 1
E(e1803,e1783) -1
Q(e343,e323) 1
B(e166,e1016) -1
E(e60,e1950) 1
Iw(e911,e323) -1
Rg(e1450,e1340) -1
Ra(e425,e2327) -1
ML(e357,e1260) -1
ML(e86,e1349) -1
Q(e800,e2138) 1
Ra(e325,e485) -1
Q(e3808,e485) 1
E(e248,e4365) -1
ML(e24,e386) -1
E(e2932,e274) -1
B(e2758,e2535) -1
Rg(e3380,e1794) 1
Ra(e290,e873) -1
Q(e489,e2341) 1
Rg(e2402,e2402) -1
Q(e867,e1378) 1
Rg(e3546,e3546) -1
E(e1159,e189) -1
E(e1849,e472) -1
B(e1460,e362) -1
B(e373,e3286) 1
E(e2966,e411) 1
Rg(e1143,e1446) 1
B(e60,e2310) -1
Q(e1520,e3956) 1
Ra(e1142,e1777) 1
Rg(e2556,e1776) 1
ML(e1754,e472) -1
Rg(e4485,e740) 1
Rg(e692,e851) 1
Q(e1816,e1037) 1
Ra(e473,e1852) 1
Rg(e2254,e2447) 1
Q(e6165,e1609) -1
B(e6307,e2705) 1
Rg(e1,e1) -1
ML(e407,e175) -1
ML(e28,e2197) -1
E(e711,e208) -1
ML(e81,e1291) -1
ML(e2095,e2957) -1
Ra(e1326,e582) -1
E(e2118,e879) -1
B(e1007,e262) 1
E(e1509,e64) -1
Rg(e986,e3983) 1
Ra(e2546,e2162) 1
Q(e1364,e4551) 1
Q(e397,e1774) 1
Q(e1169,e17) -1
ML(e6179,e4002) -1
Ra(e1548,e970) 1
Q(e3682,e4393) 1
E(e2513,e2212) -1
Q(e2867,e2867) -1
E(e1857,e1965) -1
E(e755,e4051) -1
Ra(e3807,e2963) 1
E(e1865,e201) -1
Rg(e2118,e57) 1
ML(e157,e283) -1
Ra(e663,e1797) -1
Rg(e203,e996) -1
ML(e301,e990) -1
B(e1349,e1349) -1
B(e2626,e3757) 1
Rg(e16,e2175) 1
Q(e834,e298) -1
Ra(e54,e2688) 1
ML(e901,e4466) -1
Q(e3808,e3110) 1
Rg(e1722,e2852) -1
E(e1465,e1155) -1
Ra(e1888,e1204) -1
E(e3845,e1776) -1
B(e4454,e4454) -1
E(e861,e1870) -1
ML(e788,e53) -1
Q(e1886,e1018) 1
Ra(e2235,e1701) 1
B(e770,e1327) 1
Q(e219,e1103) 1
B(e4679,e399) -1
Rg(e57,e978) 1
Q(e1988,e582) 1
Rg(e533,e472) 1
B(e261,e2658) -1
Rg(e5901,e2852) 1
Ra(e3275,e908) 1
Ra(e4174,e4174) -1
Q(e750,e114) 1
ML(e210,e212) -1
Q(e1103,e699) -1
ML(e2695,e1104) -1
B(e658,e320) 1
Rg(e2909,e2849) 1
E(e495,e1713) -1
B(e252,e330) -1
Ra(e322,e740) -1
Rg(e6191,e6191) -1
E(e3800,e2254) -1
E(e1720,e3254) -1
Q(e274,e1286) 1
B(e290,e1891) 1
Ra(e4308,e4780) 1
E(e3525,e3174) -1
Rg(e1874,e1604) 1
B(e1209,e6076) 1
Rg(e654,e261) 1
ML(e1248,e3522) -1
Rg(e4787,e4787) -1
E(e4089,e291) -1
Q(e2729,e1920) 1
Rg(e1160,e2741) 1
Ra(e2938,e225) 1
Q(e31,e1129) 1
B(e3786,e3786) -1
ML(e2695,e2582) -1
E(e510,e115) -1
Ra(e443,e506) 1
An(e2461,e6780) -1
E(e837,e2447) -1
E(e1057,e634) -1
ML(e1359,e5465) -1
B(e495,e273) 1
ML(e1248,e298) 1
ML(e338,e2338) -1
Q(e2471,e2357) 1
E(e4103,e371) -1
Ra(e3783,e1407) 1
Ra(e325,e330) 1
B(e4902,e273) -1
ML(e2798,e842) -1
Ra(e378,e179) 1
Rg(e3298,e458) 1
B(e1441,e2971) -1
E(e1465,e1434) -1
ML(e1902,e715) -1
B(e1749,e1528) 1
Ra(e189,e1395) 1
B(e2162,e2828) 1
Rg(e1243,e1446) -1
Q(e575,e1809) 1
Q(e5929,e711) -1
E(e2169,e472) -1
B(e1483,e711) 1
Ra(e2552,e2552) -1
Rg(e341,e229) 1
B(e4283,e5553) 1
Q(e1656,e4393) 1
Ra(e4345,e2325) 1
Q(e882,e322) -1
B(e4543,e1014) 1
Rg(e1255,e4180) 1
Ra(e4298,e3687) 1
ML(e24,e3913) -1
ML(e3908,e485) -1
E(e2869,e1010) -1
Ra(e849,e1920) 1
Rg(e1612,e879) 1
Rg(e779,e2283) -1
ML(e887,e2534) -1
ML(e354,e1205) -1
Rg(e782,e3681) 1
Q(e3069,e764) -1
ML(e2326,e1713) -1
Rg(e2376,e3390) 1
ML(e1472,e700) -1
Rg(e298,e1264) 1
E(e3087,e2086) -1
Rg(e1919,e212) -1
B(e1806,e2250) -1
Ra(e2138,e2254) -1
Rg(e2658,e2625) 1
B(e5639,e1708) -1
B(e5035,e480) -1
ML(e81,e3286) -1
Rg(e62,e2584) -1
Ra(e1407,e363) 1
Iw(e646,e5301) -1
ML(e331,e3460) -1
Ra(e1058,e4130) 1
Q(e3799,e517) 1
Q(e3456,e1357) 1
Rg(e2328,e2328) -1
Q(e711,e694) 1
Rg(e2477,e465) 1
ML(e81,e2915) -1
Rg(e4373,e6678) 1
Ra(e206,e3040) 1
Ra(e4217,e4217) -1
E(e809,e219) -1
Ra(e2692,e216) 1
Ra(e2948,e730) 1
Ra(e4480,e2929) -1
Ra(e281,e510) -1
Rg(e489,e261) 1
ML(e2365,e2746) -1
ML(e68,e274) -1
Q(e658,e1073) 1
ML(e181,e1678) -1
ML(e354,e2859) -1
Rg(e456,e128) 1
ML(e1363,e986) -1
E(e2287,e5386) -1
Rg(e2608,e844) 1
Q(e2466,e3469) 1
B(e2973,e480) 1
Rg(e1454,e855) 1
Rg(e5842,e3755) 1
E(e532,e123) -1
Ra(e237,e1303) 1
E(e1520,e1776) -1
ML(e276,e1155) -1
Ra(e1920,e2165) 1
Ra(e3465,e2220) -1
E(e1465,e4811) -1
Rg(e2237,e1037) -1
Q(e1564,e2419) 1
Ra(e1475,e2325) 1
E(e2415,e0) -1
Q(e1411,e1893) 1
ML(e748,e912) -1
Iw(e1157,e366) -1
Rg(e2091,e903) 1
Q(e1454,e1138) 1
Q(e4471,e1887) 1
B(e2286,e1434) 1
Ra(e87,e6372) -1
Rg(e1402,e363) 1
Q(e882,e2936) -1
ML(e913,e598) -1
Ra(e4031,e4480) 1
ML(e1371,e2684) -1
Rg(e1919,e1865) 1
Ra(e515,e5230) -1
Q(e2383,e89) -1
Ra(e1260,e2639) 1
ML(e2365,e2672) -1
Q(e1495,e201) -1
ML(e913,e245) -1
Q(e986,e201) 1
Q(e3252,e1829) 1
Q(e502,e1195) 1
Rg(e1699,e1487) 1
B(e1042,e230) 1
ML(e181,e2532) -1
Rg(e370,e795) 1
Ra(e3876,e868) 1
ML(e133,e2675) -1
ML(e4436,e980) -1
Rg(e1423,e1014) -1
E(e2737,e309) -1
Rg(e472,e446) 1
E(e443,e3302) -1
E(e7,e1886) -1
E(e4857,e845) -1
Rg(e2312,e1927) -1
Rg(e1173,e472) -1
Rg(e3496,e3496) -1
ML(e81,e4759) -1
ML(e94,e1896) -1
ML(e251,e962) -1
Iw(e1157,e2854) -1
E(e261,e457) -1
Rg(e1643,e146) 1
Q(e421,e2169) 1
Ra(e1019,e424) 1
E(e1921,e1776) -1
E(e238,e115) -1
Rg(e698,e1925) 1
ML(e28,e242) -1
Rg(e189,e480) -1
Rg(e175,e537) -1
Rg(e2490,e711) 1
Q(e4159,e362) 1
Q(e47,e3688) 1
Rg(e4893,e711) 1
Rg(e1984,e2203) 1
Ra(e114,e826) 1
ML(e2678,e3882) -1
Ra(e1044,e3735) 1
E(e658,e974) -1
Ra(e1304,e1304) -1
ML(e2798,e2176) -1
Rg(e258,e2672) -1
Q(e472,e5674) 1
Rg(e2725,e1633) -1
ML(e1800,e4912) -1
ML(e148,e326) -1
ML(e1359,e1261) -1
Ra(e6898,e1350) 1
E(e2162,e122) -1
Q(e1589,e2943) 1
ML(e2154,e4511) -1
Ra(e3971,e3727) 1
Rg(e2033,e2033) -1
Q(e919,e2082) 1
Q(e438,e978) 1
Q(e3128,e2580) 1
Ra(e937,e1370) 1
Ra(e2297,e2301) 1
Rg(e510,e1824) 1
Ra(e2644,e1161) 1
B(e1939,e1460) 1
Rg(e219,e823) 1
Ra(e3400,e402) 1
Rg(e69,e2841) -1
Rg(e457,e1838) 1
Q(e2159,e2833) 1
E(e4107,e1141) -1
ML(e24,e4829) -1
Ra(e495,e238) 1
E(e5365,e203) -1
ML(e143,e4145) -1
ML(e1248,e1411) -1
E(e3596,e510) 1
Rg(e1340,e274) -1
Q(e6082,e2590) -1
E(e1004,e0) -1
E(e3057,e880) -1
Ra(e3054,e1264) 1
ML(e81,e4161) -1
Rg(e3947,e1900) -1
Q(e1956,e905) 1
Ra(e1250,e683) 1
Rg(e3999,e3999) -1
Q(e2969,e272) 1
Q(e298,e261) 1
Rg(e1073,e219) 1
E(e655,e2734) -1
E(e1182,e115) -1
Ra(e3376,e629) -1
ML(e2365,e3224) -1
E(e1914,e1558) -1
Q(e2264,e485) 1
B(e40,e2844) 1
ML(e81,e4808) 1
E(e121,e323) -1
E(e248,e1843) -1
ML(e3413,e2254) -1
E(e298,e1898) 1
Rg(e433,e2546) -1
Q(e2162,e2817) 1
Ra(e622,e1589) 1
Rg(e782,e4037) 1
Q(e1075,e3576) 1
Rg(e1067,e1466) 1
ML(e148,e4680) -1
Iw(e1942,e251) 2
Rg(e4747,e721) -1
Rg(e3021,e1920) 1
ML(e81,e4316) -1
E(e2257,e399) -1
Ra(e1055,e3555) -1
Rg(e413,e1139) 1
Ra(e2038,e806) 1
ML(e1033,e5127) -1
Rg(e2374,e0) 1
Rg(e443,e2433) 1
ML(e1624,e473) -1
Ra(e175,e1699) -1
Ra(e1455,e1005) 1
B(e5567,e1874) 1
Q(e2833,e2580) 1
Q(e3296,e5694) 1
Rg(e5763,e3381) 1
Ra(e2703,e266) -1
Q(e5289,e5289) -1
Q(e2972,e235) 1
E(e309,e209) -1
Rg(e999,e1803) 1
Q(e273,e1558) 1
E(e2077,e1891) -1
B(e330,e1148) 1
E(e1315,e370) -1
Ra(e2058,e5098) 1
ML(e81,e3994) -1
Ra(e2729,e5901) 1
Rg(e2640,e2220) -1
E(e1554,e298) -1
Ra(e1804,e510) 1
E(e89,e461) -1
ML(e2691,e476) -1
Ra(e2758,e5577) -1
Rg(e3064,e48) -1
Q(e2207,e2138) 1
Ra(e6236,e3770) 1
Rg(e1733,e446) 1
Ra(e15,e219) 1
ML(e3077,e1378) -1
E(e298,e711) 1
Ra(e2733,e4223) -1
ML(e181,e990) -1
ML(e94,e3319) -1
Ra(e9,e2785) -1
ML(e133,e2441) -1
Ra(e1058,e58) 1
Q(e833,e1701) 1
E(e2043,e2097) -1
Rg(e6884,e2138) 1
Q(e1564,e1748) 1
ML(e2365,e5820) -1
Rg(e39,e4615) 1
Ra(e215,e5204) 1
Ra(e330,e1920) 1
Rg(e4622,e1852) 1
Ra(e757,e1939) 1
B(e2575,e422) -1
ML(e2810,e470) -1
Rg(e1460,e495) 1
An(e6771,e4971) -1
B(e598,e325) -1
Q(e3800,e823) 1
Ra(e425,e4363) 1
Rg(e5901,e139) -1
ML(e133,e1660) -1
Rg(e4829,e4829) -1
Rg(e2310,e1243) 1
ML(e1290,e495) -1
Rg(e4894,e446) 1
E(e1565,e3593) -1
Q(e1722,e2895) 1
E(e4697,e2258) -1
ML(e1363,e1340) -1
B(e381,e889) -1
B(e3918,e3825) 1
ML(e1469,e1481) -1
ML(e1371,e1743) -1
Rg(e562,e3074) -1
Q(e2556,e6243) 1
E(e1466,e823) -1
ML(e81,e2166) -1
Rg(e485,e2045) 1
Q(e5182,e1835) 1
Ra(e416,e3876) 1
E(e1865,e2) -1
Q(e5654,e3441) 1
Rg(e1086,e980) 1
Rg(e325,e502) 1
B(e4624,e1954) 1
Ra(e696,e4566) 1
Rg(e3231,e443) 1
Ra(e3697,e58) 1
E(e2817,e2438) -1
ML(e76,e1104) -1
B(e1073,e4667) 1
E(e38,e1609) -1
Iw(e398,e6951) -1
B(e219,e446) 1
B(e189,e1143) -1
Rg(e262,e139) 1
Q(e1678,e1914) 1
B(e130,e2415) 1
Ra(e421,e373) -1
ML(e28,e2994) -1
ML(e1567,e1197) -1
Rg(e362,e52) -1
Rg(e203,e89) 1
Rg(e151,e2) -1
Ra(e2796,e651) 1
Rg(e443,e1260) 1
E(e492,e1010) -1
Q(e218,e1229) 1
B(e2091,e2118) 1
Rg(e1706,e2881) 1
Q(e697,e93) 1
Rg(e2764,e51) -1
Ra(e608,e990) 1
Rg(e1103,e1067) 1
E(e1437,e4246) -1
Rg(e582,e1117) 1
B(e5150,e3638) -1
B(e2174,e421) -1
An(e2461,e3550) -1
E(e371,e2849) -1
Rg(e0,e1379) 1
E(e3467,e480) -1
Q(e1411,e244) 1
Q(e6058,e3051) 1
Rg(e1850,e2743) 1
ML(e86,e295) -1
Rg(e2077,e1286) 1
ML(e354,e3785) -1
Q(e4953,e833) -1
Ra(e1889,e82) -1
E(e3514,e3514) -1
Rg(e1925,e454) -1
Ra(e503,e702) 1
Q(e3935,e165) -1
Q(e882,e1701) 1
Rg(e5397,e2620) 1
E(e5245,e309) -1
Rg(e4191,e2216) -1
E(e271,e1774) -1
Rg(e4954,e3935) 1
ML(e4389,e1166) -1
B(e121,e2007) 1
Rg(e779,e1927) 1
E(e1162,e408) 1
E(e274,e1777) -1
Rg(e1383,e5599) 1
ML(e181,e3701) -1
Q(e370,e166) 1
Ra(e2581,e103) -1
Q(e480,e705) 1
ML(e3349,e1173) -1
Ra(e4165,e2165) 1
Ra(e360,e57) 1
Rg(e472,e49) -1
Rg(e334,e472) 1
E(e370,e2969) 1
Rg(e4327,e1318) -1
Q(e876,e2357) 1
Rg(e4327,e443) 1
ML(e354,e4298) -1
B(e373,e3800) 1
E(e1275,e1604) -1
Ra(e4540,e4466) 1
Rg(e1548,e990) -1
E(e142,e443) -1
Ra(e485,e3797) 1
E(e222,e105) -1
Q(e786,e1173) 1
Rg(e2172,e7) 1
Q(e89,e619) 1
Ra(e1167,e1167) -1
Rg(e1706,e2514) -1
Rg(e175,e697) 1
B(e2111,e1138) 1
Q(e2218,e213) 1
Rg(e7,e3306) 1
Rg(e122,e2626) 1
ML(e94,e328) -1
E(e3255,e582) -1
Ra(e3249,e1579) 1
Ra(e2128,e3660) 1
Q(e1042,e1464) 1
B(e325,e2) 1
Q(e4006,e802) 1
Rg(e472,e572) 1
Q(e2872,e248) 1
B(e325,e802) 1
Q(e69,e166) 1
Ra(e153,e542) -1
Ra(e825,e433) 1
Q(e166,e1278) 1
Ra(e577,e1677) 1
E(e40,e5012) -1
ML(e1472,e4387) 1
B(e325,e2044) 1
E(e1301,e264) -1
Rg(e2054,e2054) -1
Ra(e3266,e3612) -1
Q(e4180,e2372) 1
Rg(e654,e830) -1
Rg(e711,e309) 1
ML(e181,e1323) -1
E(e1617,e499) -1
B(e4689,e731) 1
ML(e1491,e283) -1
E(e520,e1141) -1
Q(e2155,e3295) -1
ML(e133,e1733) -1
Q(e2001,e2001) -1
ML(e143,e3815) -1
B(e480,e1014) 1
ML(e2350,e2441) -1
Q(e215,e1748) 1
B(e3796,e1127) 1
E(e1478,e1688) -1
ML(e1800,e3293) -1
Ra(e588,e191) -1
E(e219,e3785) -1
Rg(e410,e1195) 1
Q(e2520,e2520) -1
Rg(e4378,e2363) -1
Rg(e162,e175) 1
ML(e1248,e4468) -1
Q(e619,e1888) 1
E(e3627,e4409) -1
E(e1829,e1722) 1
Q(e3554,e3554) -1
Rg(e2813,e109) 1
Q(e833,e6502) 1
Ra(e2022,e602) 1
Q(e1579,e1483) 1
Rg(e2205,e2205) -1
ML(e24,e3215) -1
Ra(e2431,e826) 1
Ra(e912,e4756) -1
E(e1975,e1010) -1
Q(e1073,e4375) -1
Rg(e3529,e4871) 1
Q(e5456,e386) 1
E(e651,e5225) -1
Ra(e2352,e2539) -1
Rg(e3114,e3479) 1
Q(e165,e1370) 1
Rg(e325,e1349) 1
Rg(e446,e1879) 1
Ra(e31,e3885) -1
Ra(e816,e1455) -1
B(e149,e2376) 1
ML(e23,e438) -1
E(e633,e1488) -1
Ra(e741,e3714) 1
ML(e3997,e3627) -1
E(e125,e1107) -1
Rg(e502,e2203) 1
E(e1898,e1920) 1
ML(e133,e4409) -1
Q(e2447,e1678) -1
B(e2174,e2969) -1
Rg(e2550,e4373) 1
B(e1950,e2118) 1
B(e696,e4377) -1
E(e575,e575) -1
Ra(e2368,e2368) -1
B(e2871,e115) 1
B(e1842,e6058) 1
Ra(e899,e473) 1
E(e219,e118) -1
Ra(e3444,e3276) 1
Ra(e816,e206) 1
Ra(e3295,e4808) 1
ML(e133,e2826) -1
Ra(e1934,e1704) 1
E(e802,e1195) -1
E(e488,e175) -1
Rg(e1068,e651) 1
ML(e354,e571) -1
E(e377,e203) -1
E(e924,e5540) -1
Rg(e2671,e3720) 1
Q(e298,e658) 1
Q(e1748,e4387) -1
Ra(e1208,e74) 1
B(e567,e476) 1
ML(e28,e1264) -1
Ra(e776,e1155) -1
Q(e2264,e2264) -1
Ra(e433,e1341) -1
ML(e143,e3589) -1
ML(e3251,e1588) -1
Ra(e2936,e3922) 1
Rg(e343,e0) -1
Ra(e5022,e912) 1
Q(e2871,e1909) 1
Ra(e4395,e2816) 1
ML(e6953,e5106) -1
Ra(e2088,e554) -1
Q(e779,e1609) 1
Q(e1005,e2774) -1
E(e1159,e273) -1
E(e1155,e1014) 1
ML(e2678,e378) -1
Ra(e3887,e1530) 1
Rg(e3468,e1733) 1
ML(e94,e1407) -1
ML(e611,e4250) -1
B(e1162,e3166) -1
Rg(e146,e728) 1
Ra(e2826,e3797) 1
Ra(e678,e2994) 1
Q(e1997,e166) 1
Rg(e19,e2038) 1
Rg(e1490,e60) -1
Ra(e219,e5076) -1
Ra(e428,e879) 1
Rg(e261,e1604) 1
ML(e407,e1944) -1
Q(e1416,e17) -1
Rg(e502,e620) 1
ML(e1610,e4356) -1
Rg(e1003,e413) -1
Ra(e40,e2228) -1
ML(e338,e3410) -1
Rg(e3868,e5462) -1
B(e2086,e1797) -1
E(e472,e1104) 1
ML(e841,e194) -1
ML(e3108,e431) -1
Ra(e2599,e103) 1
Ra(e1555,e20) 1
Ra(e2567,e327) 1
B(e5555,e1142) 1
Q(e5790,e800) 1
Q(e2383,e206) 1
E(e1094,e1978) -1
B(e287,e298) 1
Ra(e5082,e5308) 1
E(e398,e4296) -1
Rg(e1600,e274) 1
ML(e1443,e1454) -1
Ra(e38,e438) 1
Rg(e3678,e3678) -1
Rg(e2672,e905) 1
ML(e933,e2784) -1
Rg(e1161,e1003) -1
Rg(e700,e1641) 1
B(e661,e60) -1
ML(e933,e3021) -1
Ra(e4257,e4002) -1
Rg(e4906,e3361) -1
Q(e1891,e1885) -1
Ra(e823,e1376) 1
Q(e91,e166) 1
Ra(e510,e5396) 1
Rg(e2608,e1103) 1
Ra(e261,e1803) -1
Ra(e1957,e613) 1
ML(e167,e437) -1
Ra(e387,e4889) 1
E(e3575,e1466) -1
Ra(e1456,e1588) 1
Q(e912,e507) 1
E(e2236,e1891) 1
Rg(e1731,e3648) 1
Rg(e1950,e4595) 1
E(e2974,e60) -1
Q(e2707,e912) -1
ML(e611,e4808) -1
Q(e697,e1678) 1
B(e2037,e502) -1
B(e884,e4894) 1
ML(e143,e2382) -1
Rg(e1398,e378) 1
ML(e5086,e89) -1
Rg(e3326,e2874) 1
Q(e3143,e1835) 1
Rg(e3128,e5182) 1
Q(e2620,e1307) 1
E(e1941,e1895) -1
E(e206,e1159) -1
Rg(e258,e1153) 1
Q(e608,e1215) 1
E(e791,e1003) -1
E(e375,e1505) -1
Q(e769,e4314) 1
E(e1232,e472) -1
Rg(e640,e816) 1
Rg(e5912,e5912) -1
Ra(e3296,e2724) -1
Rg(e139,e31) 1
Q(e1250,e962) 1
ML(e1359,e962) -1
Q(e1295,e5289) 1
Ra(e502,e4609) -1
Rg(e2022,e445) -1
Rg(e1310,e1018) -1
E(e443,e1038) 1
Rg(e1162,e274) 1
Q(e1588,e1006) 1
Q(e1195,e1430) 1
Rg(e2173,e366) 1
ML(e1491,e2584) -1
E(e274,e1812) -1
B(e5639,e1016) -1
ML(e41,e4507) -1
ML(e4436,e457) -1
Ra(e1508,e1991) 1
E(e3528,e1195) -1
ML(e1717,e219) -1
Ra(e1404,e3031) 1
Ra(e711,e480) 1
E(e1357,e201) -1
Ra(e3043,e443) 1
Rg(e848,e1748) -1
Ra(e2065,e3054) -1
Rg(e334,e1774) 1
Rg(e1037,e266) 1
Q(e802,e4458) 1
Q(e1005,e2217) 1
Ra(e3507,e4308) -1
ML(e4254,e3219) -1
Rg(e189,e3935) -1
Q(e1104,e1803) 1
ML(e7055,e4718) -1
ML(e933,e2698) -1
ML(e157,e757) -1
Q(e2320,e4089) -1
E(e1347,e510) -1
E(e159,e816) -1
Ra(e2108,e1656) 1
ML(e81,e3580) -1
Ra(e2539,e506) -1
ML(e76,e6476) -1
ML(e354,e2044) -1
E(e1004,e1010) -1
E(e846,e2698) -1
B(e654,e996) -1
E(e1005,e322) -1
B(e446,e4432) -1
Q(e1460,e213) 1
Q(e93,e3276) -1
Rg(e3799,e3132) -1
Ra(e855,e1969) 1
Q(e1895,e2) 1
B(e6106,e255) 1
E(e472,e1213) 1
E(e1311,e1951) -1
E(e386,e2186) 1
Q(e4134,e2159) 1
E(e64,e3155) -1
B(e1706,e1161) 1
Q(e495,e533) 1
ML(e5477,e907) -1
B(e837,e1776) -1
Rg(e58,e2228) 1
ML(e1800,e857) -1
Q(e2731,e833) 1
ML(e890,e1803) -1
Rg(e330,e159) 1
E(e146,e274) -1
Ra(e1064,e5576) 1
B(e1402,e4894) 1
E(e2620,e465) -1
Rg(e1774,e1016) 1
Q(e2948,e480) 1
ML(e1248,e3020) -1
Rg(e5247,e536) 1
ML(e143,e1581) -1
Ra(e47,e4088) 1
