locatedInCR(afghanistan,asia) 0.294884 1
neighborOf(bermuda,bulgaria) 0.121933 6
neighborOf(bermuda,azerbaijan) 0.120697 7
neighborOf(bermuda,hungary) 0.117734 8
neighborOf(bermuda,albania) 0.117520 9
neighborOf(bermuda,croatia) 0.115306 10
neighborOf(bhutan,myanmar) 0.281819 3
neighborOf(bhutan,laos) 0.268770 4
neighborOf(bhutan,pakistan) 0.258722 5
neighborOf(bhutan,afghanistan) 0.250636 6
neighborOf(bhutan,france) 0.250609 7
neighborOf(bhutan,russia) 0.229424 8
neighborOf(bhutan,mongolia) 0.225696 9
neighborOf(bhutan,tajikistan) 0.205316 10
neighborOf(bolivia,venezuela) 0.322161 6
neighborOf(bolivia,uruguay) 0.321819 7
neighborOf(bolivia,suriname) 0.246300 8
neighborOf(bolivia,algeria) 0.212958 9
neighborOf(bolivia,colombia) 0.212791 10
neighborOf(bosnia_and_herzegovina,macedonia) 0.317257 4
neighborOf(bosnia_and_herzegovina,albania) 0.295072 5
neighborOf(bosnia_and_herzegovina,romania) 0.279013 6
neighborOf(bosnia_and_herzegovina,hungary) 0.250404 7
neighborOf(bosnia_and_herzegovina,kosovo) 0.233096 8
neighborOf(bosnia_and_herzegovina,greece) 0.222677 9
neighborOf(bosnia_and_herzegovina,chad) 0.203432 10
neighborOf(botswana,mozambique) 0.458564 5
neighborOf(botswana,malawi) 0.293004 6
neighborOf(botswana,dr_congo) 0.292203 7
neighborOf(botswana,angola) 0.287567 8
neighborOf(botswana,tanzania) 0.253314 9
neighborOf(botswana,central_african_republic) 0.247346 10
neighborOf(british_indian_ocean_territory,rwanda) 0.181067 1
neighborOf(british_indian_ocean_territory,south_africa) 0.177753 2
neighborOf(british_indian_ocean_territory,tanzania) 0.170244 3
neighborOf(british_indian_ocean_territory,zambia) 0.164425 4
neighborOf(british_indian_ocean_territory,chad) 0.129769 5
neighborOf(british_indian_ocean_territory,cameroon) 0.129413 6
neighborOf(british_indian_ocean_territory,myanmar) 0.129121 7
neighborOf(british_indian_ocean_territory,central_african_republic) 0.128971 8
neighborOf(british_indian_ocean_territory,sudan) 0.126123 9
neighborOf(british_indian_ocean_territory,south_sudan) 0.124228 10
neighborOf(british_virgin_islands,latvia) 0.138579 1
neighborOf(british_virgin_islands,dominican_republic) 0.137875 2
neighborOf(british_virgin_islands,russia) 0.130976 3
neighborOf(british_virgin_islands,argentina) 0.128357 4
neighborOf(british_virgin_islands,kosovo) 0.126352 5
neighborOf(british_virgin_islands,brazil) 0.125532 6
neighborOf(british_virgin_islands,serbia) 0.119952 7
neighborOf(british_virgin_islands,mali) 0.117242 8
neighborOf(british_virgin_islands,guinea) 0.116256 9
neighborOf(british_virgin_islands,zambia) 0.115599 10
neighborOf(brunei,china) 0.261147 2
neighborOf(brunei,russia) 0.206319 3
neighborOf(brunei,laos) 0.185373 4
neighborOf(brunei,mongolia) 0.168860 5
neighborOf(brunei,colombia) 0.151060 6
neighborOf(brunei,cambodia) 0.140338 7
neighborOf(brunei,india) 0.139450 8
neighborOf(brunei,turkey) 0.137306 9
neighborOf(brunei,saint_martin) 0.130151 10
neighborOf(bulgaria,montenegro) 0.332942 6
neighborOf(bulgaria,kosovo) 0.299805 7
neighborOf(bulgaria,albania) 0.288296 8
neighborOf(bulgaria,hungary) 0.272894 9
neighborOf(bulgaria,croatia) 0.271910 10
neighborOf(burkina_faso,liberia) 0.348028 7
neighborOf(burkina_faso,nigeria) 0.310143 8
neighborOf(burkina_faso,senegal) 0.310085 9
neighborOf(burkina_faso,guinea) 0.297602 10
neighborOf(burundi,kenya) 0.358448 4
neighborOf(burundi,south_sudan) 0.342833 5
neighborOf(burundi,uganda) 0.321530 6
neighborOf(burundi,angola) 0.296182 7
neighborOf(burundi,zambia) 0.290160 8
neighborOf(burundi,central_african_republic) 0.215912 9
neighborOf(burundi,cameroon) 0.209022 10
neighborOf(cambodia,china) 0.320274 4
neighborOf(cambodia,myanmar) 0.261925 5
neighborOf(cambodia,india) 0.227312 6
neighborOf(cambodia,pakistan) 0.226781 7
neighborOf(cambodia,russia) 0.224123 8
neighborOf(cambodia,ukraine) 0.210914 9
neighborOf(cambodia,nepal) 0.200834 10
neighborOf(cameroon,angola) 0.352477 7
neighborOf(cameroon,dr_congo) 0.349526 8
neighborOf(cameroon,south_sudan) 0.316710 9
neighborOf(cameroon,sudan) 0.295798 10
neighborOf(canada,zambia) 0.141531 2
neighborOf(canada,mali) 0.128032 3
neighborOf(canada,bhutan) 0.124587 4
neighborOf(canada,dr_congo) 0.124391 5
neighborOf(canada,russia) 0.112984 6
neighborOf(canada,south_sudan) 0.112448 7
neighborOf(canada,namibia) 0.108024 8
neighborOf(canada,nepal) 0.106461 9
neighborOf(canada,chad) 0.105899 10
neighborOf(cape_verde,senegal) 0.215365 1
neighborOf(cape_verde,mali) 0.201296 2
neighborOf(cape_verde,guinea) 0.186672 3
neighborOf(cape_verde,benin) 0.162136 4
neighborOf(cape_verde,algeria) 0.161007 5
neighborOf(cape_verde,niger) 0.151922 6
neighborOf(cape_verde,portugal) 0.144417 7
neighborOf(cape_verde,ivory_coast) 0.142600 8
neighborOf(cape_verde,ethiopia) 0.138785 9
neighborOf(cape_verde,guinea_bissau) 0.133728 10
neighborOf(cayman_islands,russia) 0.209726 1
neighborOf(cayman_islands,brazil) 0.204642 2
neighborOf(cayman_islands,italy) 0.197802 3
neighborOf(cayman_islands,ukraine) 0.168824 4
neighborOf(cayman_islands,argentina) 0.166220 5
neighborOf(cayman_islands,hungary) 0.161489 6
neighborOf(cayman_islands,bolivia) 0.160706 7
neighborOf(cayman_islands,belarus) 0.157848 8
neighborOf(cayman_islands,switzerland) 0.157670 9
neighborOf(cayman_islands,colombia) 0.155492 10
neighborOf(central_african_republic,angola) 0.384821 7
neighborOf(central_african_republic,zambia) 0.381418 8
neighborOf(central_african_republic,ethiopia) 0.343384 9
neighborOf(central_african_republic,uganda) 0.335690 10
neighborOf(chad,republic_of_the_congo) 0.393191 8
neighborOf(chad,dr_congo) 0.323129 9
neighborOf(chad,algeria) 0.322509 10
neighborOf(chile,brazil) 0.339875 4
neighborOf(chile,paraguay) 0.274537 5
neighborOf(chile,colombia) 0.269929 6
neighborOf(chile,uruguay) 0.231082 7
neighborOf(chile,suriname) 0.179829 8
neighborOf(chile,russia) 0.174979 9
neighborOf(chile,morocco) 0.167212 10
neighborOf(christmas_island,france) 0.166195 1
neighborOf(christmas_island,afghanistan) 0.156641 2
neighborOf(christmas_island,germany) 0.152697 3
neighborOf(christmas_island,paraguay) 0.133610 4
neighborOf(christmas_island,saint_martin) 0.130986 5
neighborOf(christmas_island,nepal) 0.128899 6
neighborOf(christmas_island,belarus) 0.127183 7
neighborOf(christmas_island,tanzania) 0.124736 8
neighborOf(christmas_island,azerbaijan) 0.124728 9
neighborOf(christmas_island,estonia) 0.121875 10
neighborOf(cocos_keeling_islands,germany) 0.140202 1
neighborOf(cocos_keeling_islands,china) 0.126689 2
neighborOf(cocos_keeling_islands,ethiopia) 0.125231 3
neighborOf(cocos_keeling_islands,myanmar) 0.116655 4
neighborOf(cocos_keeling_islands,france) 0.114359 5
neighborOf(cocos_keeling_islands,russia) 0.112020 6
neighborOf(cocos_keeling_islands,andorra) 0.107115 7
neighborOf(cocos_keeling_islands,afghanistan) 0.106404 8
neighborOf(cocos_keeling_islands,india) 0.105521 9
neighborOf(cocos_keeling_islands,saint_martin) 0.105312 10
neighborOf(colombia,paraguay) 0.295143 6
neighborOf(colombia,argentina) 0.274201 7
neighborOf(colombia,chile) 0.257901 8
neighborOf(colombia,south_sudan) 0.249412 9
neighborOf(colombia,iran) 0.242970 10
neighborOf(comoros,zambia) 0.190975 1
neighborOf(comoros,angola) 0.177955 2
neighborOf(comoros,dr_congo) 0.175867 3
neighborOf(comoros,tanzania) 0.173830 4
neighborOf(comoros,south_sudan) 0.140129 5
neighborOf(comoros,somalia) 0.136092 6
neighborOf(comoros,central_african_republic) 0.133074 7
neighborOf(comoros,ethiopia) 0.129436 8
neighborOf(comoros,mozambique) 0.128807 9
neighborOf(comoros,sudan) 0.126796 10
neighborOf(cook_islands,china) 0.144916 1
neighborOf(cook_islands,zambia) 0.135343 2
neighborOf(cook_islands,bulgaria) 0.133205 3
neighborOf(cook_islands,namibia) 0.118685 4
neighborOf(cook_islands,montenegro) 0.117055 5
neighborOf(cook_islands,poland) 0.111250 6
neighborOf(cook_islands,burkina_faso) 0.109793 7
neighborOf(cook_islands,greece) 0.107513 8
neighborOf(cook_islands,kazakhstan) 0.106844 9
neighborOf(cook_islands,kosovo) 0.106310 10
neighborOf(costa_rica,china) 0.154185 3
neighborOf(costa_rica,france) 0.143838 4
neighborOf(costa_rica,guatemala) 0.139592 5
neighborOf(costa_rica,mongolia) 0.124387 6
neighborOf(costa_rica,nepal) 0.123710 7
neighborOf(costa_rica,peru) 0.122139 8
neighborOf(costa_rica,brunei) 0.119584 9
neighborOf(costa_rica,brazil) 0.117358 10
neighborOf(croatia,kosovo) 0.380102 6
neighborOf(croatia,albania) 0.376773 7
neighborOf(croatia,greece) 0.354657 8
neighborOf(croatia,romania) 0.345937 9
neighborOf(croatia,macedonia) 0.309640 10
neighborOf(cuba,russia) 0.163169 1
neighborOf(cuba,hungary) 0.137128 2
neighborOf(cuba,croatia) 0.134402 3
neighborOf(cuba,argentina) 0.126139 4
neighborOf(cuba,romania) 0.124301 5
neighborOf(cuba,south_sudan) 0.122424 6
neighborOf(cuba,ukraine) 0.114987 7
neighborOf(cuba,brazil) 0.112579 8
neighborOf(cuba,slovenia) 0.112449 9
neighborOf(cuba,pakistan) 0.108896 10
neighborOf(curacao,ukraine) 0.153372 1
neighborOf(curacao,turkey) 0.145542 2
neighborOf(curacao,serbia) 0.144086 3
neighborOf(curacao,malaysia) 0.141457 4
neighborOf(curacao,romania) 0.134883 5
neighborOf(curacao,russia) 0.134634 6
neighborOf(curacao,armenia) 0.132831 7
neighborOf(curacao,macedonia) 0.127057 8
neighborOf(curacao,peru) 0.126374 9
neighborOf(curacao,kosovo) 0.122073 10
neighborOf(cyprus,poland) 0.170294 1
neighborOf(cyprus,france) 0.166013 2
neighborOf(cyprus,italy) 0.159623 3
neighborOf(cyprus,chad) 0.149863 4
neighborOf(cyprus,romania) 0.149228 5
neighborOf(cyprus,hungary) 0.148245 6
neighborOf(cyprus,russia) 0.143442 7
neighborOf(cyprus,belarus) 0.136659 8
neighborOf(cyprus,kosovo) 0.135019 9
neighborOf(cyprus,austria) 0.132836 10
neighborOf(czechia,ukraine) 0.349827 5
neighborOf(czechia,russia) 0.313417 6
neighborOf(czechia,switzerland) 0.301671 7
neighborOf(czechia,france) 0.292813 8
neighborOf(czechia,belgium) 0.284686 9
neighborOf(czechia,italy) 0.277042 10
neighborOf(denmark,austria) 0.144299 2
neighborOf(denmark,france) 0.140763 3
neighborOf(denmark,belgium) 0.126261 4
neighborOf(denmark,italy) 0.114637 5
neighborOf(denmark,switzerland) 0.101058 6
neighborOf(denmark,czechia) 0.099552 7
neighborOf(denmark,luxembourg) 0.098519 8
neighborOf(denmark,south_sudan) 0.087720 9
neighborOf(denmark,slovakia) 0.084899 10
neighborOf(djibouti,south_sudan) 0.278887 4
neighborOf(djibouti,central_african_republic) 0.252376 5
neighborOf(djibouti,kenya) 0.252251 6
neighborOf(djibouti,uganda) 0.244905 7
neighborOf(djibouti,iran) 0.194748 8
neighborOf(djibouti,georgia) 0.174526 9
neighborOf(djibouti,china) 0.164910 10
neighborOf(dominica,mali) 0.146159 1
neighborOf(dominica,pakistan) 0.139642 2
neighborOf(dominica,kosovo) 0.133657 3
neighborOf(dominica,russia) 0.133652 4
neighborOf(dominica,azerbaijan) 0.130551 5
neighborOf(dominica,egypt) 0.126204 6
neighborOf(dominica,georgia) 0.125487 7
neighborOf(dominica,ukraine) 0.125220 8
neighborOf(dominica,china) 0.124032 9
neighborOf(dominica,france) 0.123819 10
neighborOf(dominican_republic,kazakhstan) 0.207999 2
neighborOf(dominican_republic,brazil) 0.170295 3
neighborOf(dominican_republic,china) 0.166722 4
neighborOf(dominican_republic,ukraine) 0.154597 5
neighborOf(dominican_republic,uruguay) 0.152357 6
neighborOf(dominican_republic,uzbekistan) 0.143034 7
neighborOf(dominican_republic,british_virgin_islands) 0.141846 8
neighborOf(dominican_republic,french_guiana) 0.141170 9
neighborOf(dominican_republic,trinidad_and_tobago) 0.140892 10
neighborOf(dr_congo,mozambique) 0.387353 10
neighborOf(ecuador,turkey) 0.183853 3
neighborOf(ecuador,central_african_republic) 0.172542 4
neighborOf(ecuador,uruguay) 0.159420 5
neighborOf(ecuador,china) 0.157089 6
neighborOf(ecuador,morocco) 0.156096 7
neighborOf(ecuador,bolivia) 0.151282 8
neighborOf(ecuador,dr_congo) 0.146507 9
neighborOf(ecuador,afghanistan) 0.146353 10
neighborOf(egypt,niger) 0.337341 5
neighborOf(egypt,lebanon) 0.264115 6
neighborOf(egypt,nigeria) 0.259820 7
neighborOf(egypt,algeria) 0.255518 8
neighborOf(egypt,chad) 0.247496 9
neighborOf(egypt,iraq) 0.224123 10
neighborOf(el_salvador,zimbabwe) 0.177200 3
neighborOf(el_salvador,afghanistan) 0.169273 4
neighborOf(el_salvador,namibia) 0.158232 5
neighborOf(el_salvador,south_sudan) 0.157403 6
neighborOf(el_salvador,argentina) 0.150162 7
neighborOf(el_salvador,ivory_coast) 0.148112 8
neighborOf(el_salvador,france) 0.144176 9
neighborOf(el_salvador,belize) 0.140019 10
neighborOf(equatorial_guinea,republic_of_the_congo) 0.288931 3
neighborOf(equatorial_guinea,dr_congo) 0.243254 4
neighborOf(equatorial_guinea,angola) 0.229137 5
neighborOf(equatorial_guinea,central_african_republic) 0.229010 6
neighborOf(equatorial_guinea,south_sudan) 0.214297 7
neighborOf(equatorial_guinea,chad) 0.198430 8
neighborOf(equatorial_guinea,zambia) 0.192915 9
neighborOf(equatorial_guinea,tanzania) 0.189029 10
neighborOf(eritrea,kenya) 0.261994 4
neighborOf(eritrea,south_sudan) 0.260976 5
neighborOf(eritrea,somalia) 0.219822 6
neighborOf(eritrea,uganda) 0.204270 7
neighborOf(eritrea,central_african_republic) 0.193571 8
neighborOf(eritrea,afghanistan) 0.175514 9
neighborOf(eritrea,chad) 0.173137 10
neighborOf(estonia,lithuania) 0.260338 3
neighborOf(estonia,sweden) 0.257250 4
neighborOf(estonia,belarus) 0.249222 5
neighborOf(estonia,ukraine) 0.238439 6
neighborOf(estonia,poland) 0.229199 7
neighborOf(estonia,austria) 0.224827 8
neighborOf(estonia,romania) 0.219608 9
neighborOf(estonia,south_africa) 0.207209 10
neighborOf(ethiopia,central_african_republic) 0.346165 7
neighborOf(ethiopia,uganda) 0.322642 8
neighborOf(ethiopia,tanzania) 0.315761 9
neighborOf(ethiopia,dr_congo) 0.309050 10
neighborOf(falkland_islands,russia) 0.213221 1
neighborOf(falkland_islands,peru) 0.193857 2
neighborOf(falkland_islands,brazil) 0.193615 3
neighborOf(falkland_islands,azerbaijan) 0.164089 4
neighborOf(falkland_islands,turkey) 0.163098 5
neighborOf(falkland_islands,poland) 0.162120 6
neighborOf(falkland_islands,bolivia) 0.159330 7
neighborOf(falkland_islands,south_sudan) 0.151149 8
neighborOf(falkland_islands,uruguay) 0.142505 9
neighborOf(falkland_islands,paraguay) 0.142472 10
neighborOf(faroe_islands,russia) 0.249737 1
