process_of(experimental_model_of_disease,natural_phenomenon_or_process) 3
manifestation_of(mental_or_behavioral_dysfunction,genetic_function) 3
issue_in(qualitative_concept,occupation_or_discipline) -1
isa(antibiotic,entity) 2
associated_with(daily_or_recreational_activity,injury_or_poisoning) -1
complicates(neoplastic_process,injury_or_poisoning) 3
indicates(immunologic_factor,virus) -1
diagnoses(antibiotic,mental_or_behavioral_dysfunction) 10
part_of(tissue,organism) 3
associated_with(mental_or_behavioral_dysfunction,neoplastic_process) 3
location_of(body_space_or_junction,diagnostic_procedure) 2
causes(immunologic_factor,mental_or_behavioral_dysfunction) 5
degree_of(neoplastic_process,pathologic_function) 1
associated_with(laboratory_procedure,acquired_abnormality) 5
isa(amino_acid_sequence,conceptual_entity) -1
affects(enzyme,neoplastic_process) 2
co-occurs_with(acquired_abnormality,injury_or_poisoning) 3
measures(research_activity,enzyme) 5
causes(food,disease_or_syndrome) -1
analyzes(laboratory_procedure,lipid) 5
affects(amino_acid_peptide_or_protein,molecular_function) 2
part_of(gene_or_genome,archaeon) 4
location_of(anatomical_abnormality,bacterium) 5
causes(chemical_viewed_structurally,acquired_abnormality) 5
produces(self_help_or_relief_organization,classification) 5
measurement_of(quantitative_concept,body_space_or_junction) -1
produces(body_part_organ_or_organ_component,hormone) 5
process_of(neoplastic_process,vertebrate) 2
affects(acquired_abnormality,physiologic_function) 3
interacts_with(nucleic_acid_nucleoside_or_nucleotide,inorganic_chemical) 2
causes(inorganic_chemical,acquired_abnormality) 5
complicates(vitamin,mental_or_behavioral_dysfunction) 3
produces(body_part_organ_or_organ_component,nucleic_acid_nucleoside_or_nucleotide) -1
affects(regulation_or_law,professional_society) -1
causes(element_ion_or_isotope,mental_or_behavioral_dysfunction) 5
affects(biomedical_or_dental_material,mental_process) 2
isa(laboratory_procedure,activity) -1
result_of(human_caused_phenomenon_or_process,organism_function) 2
produces(cell,eicosanoid) 10
degree_of(pathologic_function,neoplastic_process) 1
isa(classification,conceptual_entity) -1
result_of(acquired_abnormality,human_caused_phenomenon_or_process) 3
result_of(cell_function,injury_or_poisoning) 1
isa(clinical_attribute,conceptual_entity) -1
result_of(genetic_function,biologic_function) 2
disrupts(vitamin,organism_function) -1
interacts_with(fungus,archaeon) 2
occurs_in(pathologic_function,patient_or_disabled_group) 4
result_of(phenomenon_or_process,human_caused_phenomenon_or_process) 3
process_of(disease_or_syndrome,bacterium) 2
affects(therapeutic_or_preventive_procedure,experimental_model_of_disease) 2
degree_of(experimental_model_of_disease,pathologic_function) 3
issue_in(group,occupation_or_discipline) -1
produces(pathologic_function,receptor) 5
affects(disease_or_syndrome,bacterium) 2
affects(biologic_function,fish) 2
process_of(disease_or_syndrome,natural_phenomenon_or_process) 2
method_of(machine_activity,diagnostic_procedure) -1
part_of(fully_formed_anatomical_structure,human) 5
indicates(immunologic_factor,experimental_model_of_disease) -1
complicates(biologically_active_substance,anatomical_abnormality) 2
affects(mental_process,individual_behavior) 4
process_of(molecular_function,organism_function) 2
affects(genetic_function,fish) 2
process_of(disease_or_syndrome,biologic_function) 2
manifestation_of(congenital_abnormality,organism_function) 5
causes(fungus,experimental_model_of_disease) 5
isa(archaeon,entity) -1
produces(mental_process,biologically_active_substance) 5
produces(organ_or_tissue_function,immunologic_factor) 5
complicates(hazardous_or_poisonous_substance,disease_or_syndrome) 5
co-occurs_with(cell_or_molecular_dysfunction,congenital_abnormality) -1
affects(molecular_function,cell_function) 3
affects(physiologic_function,bird) 2
occurs_in(experimental_model_of_disease,neoplastic_process) 5
causes(hormone,anatomical_abnormality) 5
diagnoses(laboratory_procedure,pathologic_function) -1
location_of(plant,enzyme) -1
interacts_with(plant,animal) 3
performs(patient_or_disabled_group,laboratory_procedure) 5
treats(medical_device,experimental_model_of_disease) 10
process_of(cell_or_molecular_dysfunction,mammal) 2
measures(molecular_biology_research_technique,chemical) -1
affects(molecular_function,mental_process) 3
causes(manufactured_object,experimental_model_of_disease) 5
isa(laboratory_or_test_result,finding) -1
affects(amino_acid_peptide_or_protein,mental_process) 2
complicates(hormone,molecular_function) 5
complicates(hazardous_or_poisonous_substance,mental_or_behavioral_dysfunction) 5
isa(health_care_activity,occupational_activity) 5
affects(chemical_viewed_functionally,molecular_function) 2
indicates(laboratory_or_test_result,genetic_function) -1
performs(professional_or_occupational_group,activity) 5
process_of(molecular_function,mental_process) 3
causes(element_ion_or_isotope,experimental_model_of_disease) 5
occurs_in(injury_or_poisoning,age_group) 6
part_of(acquired_abnormality,alga) 5
process_of(disease_or_syndrome,organism_function) 3
associated_with(population_group,disease_or_syndrome) 5
part_of(congenital_abnormality,human) 5
process_of(biologic_function,virus) 3
interacts_with(chemical_viewed_structurally,hormone) 2
interacts_with(nucleic_acid_nucleoside_or_nucleotide,chemical) 2
location_of(body_location_or_region,biologic_function) 5
part_of(anatomical_abnormality,animal) 5
location_of(congenital_abnormality,mental_or_behavioral_dysfunction) 3
issue_in(animal,occupation_or_discipline) 5
process_of(disease_or_syndrome,vertebrate) 2
complicates(congenital_abnormality,acquired_abnormality) 1
affects(pathologic_function,molecular_function) 2
result_of(disease_or_syndrome,biologic_function) 2
result_of(molecular_function,phenomenon_or_process) 2
associated_with(laboratory_or_test_result,pathologic_function) 5
consists_of(body_substance,carbohydrate) -1
interacts_with(hormone,hazardous_or_poisonous_substance) 2
process_of(biologic_function,alga) 3
prevents(drug_delivery_device,disease_or_syndrome) -1
location_of(alga,immunologic_factor) -1
part_of(cell,virus) 3
uses(diagnostic_procedure,clinical_drug) 5
process_of(molecular_function,experimental_model_of_disease) 2
isa(drug_delivery_device,entity) 5
affects(biologic_function,pathologic_function) 1
isa(antibiotic,physical_object) 5
manifestation_of(cell_or_molecular_dysfunction,pathologic_function) 2
associated_with(individual_behavior,biomedical_occupation_or_discipline) -1
location_of(body_part_organ_or_organ_component,cell_or_molecular_dysfunction) 5
manifestation_of(cell_or_molecular_dysfunction,genetic_function) 2
causes(substance,cell_or_molecular_dysfunction) 5
isa(gene_or_genome,fully_formed_anatomical_structure) 3
result_of(clinical_attribute,injury_or_poisoning) 2
causes(organic_chemical,neoplastic_process) 5
performs(population_group,research_activity) 5
manifestation_of(clinical_attribute,physiologic_function) 5
measures(diagnostic_procedure,chemical_viewed_structurally) 5
interacts_with(element_ion_or_isotope,inorganic_chemical) 3
part_of(cell,rickettsia_or_chlamydia) 5
performs(age_group,molecular_biology_research_technique) 5
interacts_with(professional_or_occupational_group,patient_or_disabled_group) 2
result_of(cell_or_molecular_dysfunction,pathologic_function) 2
evaluation_of(laboratory_or_test_result,organ_or_tissue_function) -1
manifestation_of(organism_attribute,cell_function) 7
location_of(tissue,disease_or_syndrome) 2
associated_with(receptor,virus) -1
manifestation_of(finding,disease_or_syndrome) 2
process_of(cell_function,pathologic_function) 2
evaluation_of(laboratory_or_test_result,cell_or_molecular_dysfunction) -1
degree_of(neoplastic_process,experimental_model_of_disease) 3
affects(social_behavior,individual_behavior) 6
isa(body_part_organ_or_organ_component,physical_object) -1
complicates(pharmacologic_substance,genetic_function) 5
complicates(acquired_abnormality,congenital_abnormality) 1
interacts_with(eicosanoid,biologically_active_substance) 2
affects(molecular_function,amphibian) 2
associated_with(health_care_activity,congenital_abnormality) 5
complicates(acquired_abnormality,anatomical_abnormality) 3
interacts_with(biologically_active_substance,immunologic_factor) 3
result_of(mental_or_behavioral_dysfunction,biologic_function) 2
manages(professional_or_occupational_group,organization) -1
result_of(neoplastic_process,social_behavior) 2
manifestation_of(mental_or_behavioral_dysfunction,experimental_model_of_disease) 3
analyzes(diagnostic_procedure,lipid) 5
associated_with(finding,anatomical_abnormality) 5
causes(eicosanoid,cell_or_molecular_dysfunction) 5
co-occurs_with(mental_or_behavioral_dysfunction,injury_or_poisoning) 2
precedes(experimental_model_of_disease,disease_or_syndrome) 2
location_of(alga,receptor) -1
associated_with(governmental_or_regulatory_activity,anatomical_abnormality) 5
affects(genetic_function,biologic_function) 2
interacts_with(organophosphorus_compound,steroid) 3
part_of(anatomical_abnormality,vertebrate) 5
location_of(gene_or_genome,molecular_function) 5
isa(organic_chemical,chemical) 3
measures(diagnostic_procedure,indicator_reagent_or_diagnostic_aid) 5
isa(human,physical_object) 2
affects(organ_or_tissue_function,reptile) -1
result_of(environmental_effect_of_humans,organ_or_tissue_function) 3
co-occurs_with(disease_or_syndrome,neoplastic_process) 2
affects(enzyme,organ_or_tissue_function) 3
prevents(therapeutic_or_preventive_procedure,experimental_model_of_disease) -1
performs(age_group,occupational_activity) 10
isa(chemical_viewed_functionally,entity) 2
interacts_with(element_ion_or_isotope,enzyme) 2
interacts_with(organophosphorus_compound,receptor) 3
issue_in(diagnostic_procedure,biomedical_occupation_or_discipline) 5
co-occurs_with(mental_or_behavioral_dysfunction,neoplastic_process) 3
interacts_with(carbohydrate,pharmacologic_substance) 3
location_of(cell_component,therapeutic_or_preventive_procedure) 5
performs(patient_or_disabled_group,governmental_or_regulatory_activity) -1
affects(genetic_function,animal) 4
affects(neoplastic_process,organism) 2
result_of(disease_or_syndrome,mental_or_behavioral_dysfunction) 1
result_of(experimental_model_of_disease,therapeutic_or_preventive_procedure) 2
isa(immunologic_factor,chemical) 3
manifestation_of(neoplastic_process,cell_function) 3
result_of(acquired_abnormality,environmental_effect_of_humans) 2
affects(biologically_active_substance,neoplastic_process) 2
result_of(cell_function,organism_function) 1
isa(neoplastic_process,natural_phenomenon_or_process) 7
affects(cell_or_molecular_dysfunction,genetic_function) 3
isa(diagnostic_procedure,activity) 2
uses(population_group,regulation_or_law) 5
isa(experimental_model_of_disease,pathologic_function) -1
isa(mammal,vertebrate) -1
location_of(cell_component,disease_or_syndrome) 5
isa(machine_activity,activity) -1
uses(diagnostic_procedure,antibiotic) 5
manifestation_of(congenital_abnormality,neoplastic_process) 3
interacts_with(steroid,element_ion_or_isotope) 3
interacts_with(plant,alga) 5
result_of(quantitative_concept,mental_process) -1
measures(laboratory_procedure,organic_chemical) 5
performs(population_group,therapeutic_or_preventive_procedure) 5
produces(organ_or_tissue_function,enzyme) 5
affects(organism_function,mammal) 2
produces(group,classification) 5
manifestation_of(organism_attribute,organ_or_tissue_function) 5
produces(body_part_organ_or_organ_component,biologically_active_substance) 5
interacts_with(plant,fish) 3
affects(food,experimental_model_of_disease) 2
causes(enzyme,cell_or_molecular_dysfunction) 5
affects(chemical_viewed_structurally,cell_or_molecular_dysfunction) 4
affects(cell_function,natural_phenomenon_or_process) 2
isa(tissue,fully_formed_anatomical_structure) 8
isa(therapeutic_or_preventive_procedure,health_care_activity) -1
affects(eicosanoid,cell_function) 2
process_of(organism_function,animal) 3
interacts_with(inorganic_chemical,hazardous_or_poisonous_substance) 4
result_of(cell_or_molecular_dysfunction,genetic_function) 2
result_of(physiologic_function,neoplastic_process) 2
location_of(body_space_or_junction,neoplastic_process) 2
developmental_form_of(embryonic_structure,body_part_organ_or_organ_component) -1
uses(group,intellectual_product) 5
interacts_with(vitamin,receptor) 3
associated_with(therapeutic_or_preventive_procedure,congenital_abnormality) 7
measures(laboratory_procedure,mental_process) 5
affects(organ_or_tissue_function,neoplastic_process) 3
isa(activity,event) 3
process_of(disease_or_syndrome,mental_process) 1
complicates(neuroreactive_substance_or_biogenic_amine,acquired_abnormality) 2
interacts_with(bacterium,mammal) 2
produces(family_group,intellectual_product) -1
affects(congenital_abnormality,vertebrate) 4
exhibits(fish,behavior) -1
location_of(congenital_abnormality,virus) 3
part_of(anatomical_abnormality,invertebrate) 5
issue_in(rickettsia_or_chlamydia,biomedical_occupation_or_discipline) -1
disrupts(hazardous_or_poisonous_substance,tissue) 5
assesses_effect_of(laboratory_procedure,organophosphorus_compound) -1
isa(individual_behavior,activity) -1
location_of(rickettsia_or_chlamydia,immunologic_factor) 5
causes(clinical_drug,pathologic_function) 5
performs(patient_or_disabled_group,individual_behavior) 5
issue_in(animal,biomedical_occupation_or_discipline) 5
precedes(organism_function,molecular_function) -1
result_of(disease_or_syndrome,diagnostic_procedure) 2
affects(receptor,natural_phenomenon_or_process) 2
part_of(fully_formed_anatomical_structure,fungus) 5
affects(experimental_model_of_disease,mental_or_behavioral_dysfunction) 2
affects(lipid,genetic_function) 2
location_of(acquired_abnormality,fungus) 3
indicates(laboratory_or_test_result,organ_or_tissue_function) -1
location_of(body_part_organ_or_organ_component,body_location_or_region) 5
issue_in(lipid,biomedical_occupation_or_discipline) -1
isa(disease_or_syndrome,biologic_function) -1
location_of(embryonic_structure,virus) 5
affects(biologic_function,rickettsia_or_chlamydia) 2
precedes(mental_process,genetic_function) -1
location_of(acquired_abnormality,mental_or_behavioral_dysfunction) 3
affects(amino_acid_peptide_or_protein,biologic_function) 2
complicates(hormone,cell_or_molecular_dysfunction) 2
affects(behavior,individual_behavior) -1
result_of(pathologic_function,biologic_function) 1
affects(disease_or_syndrome,rickettsia_or_chlamydia) 3
measures(molecular_biology_research_technique,amino_acid_peptide_or_protein) 5
uses(therapeutic_or_preventive_procedure,food) -1
result_of(acquired_abnormality,experimental_model_of_disease) 2
causes(neuroreactive_substance_or_biogenic_amine,anatomical_abnormality) 5
complicates(hormone,cell_function) 5
measures(laboratory_procedure,lipid) 5
affects(congenital_abnormality,organ_or_tissue_function) 3
interacts_with(carbohydrate,chemical_viewed_functionally) 3
result_of(mental_process,biologic_function) 1
affects(organic_chemical,biologic_function) 2
part_of(gene_or_genome,alga) 2
measures(molecular_biology_research_technique,pharmacologic_substance) 5
result_of(mental_or_behavioral_dysfunction,injury_or_poisoning) 1
affects(indicator_reagent_or_diagnostic_aid,natural_phenomenon_or_process) 4
occurs_in(mental_or_behavioral_dysfunction,injury_or_poisoning) 3
affects(hormone,biologic_function) 2
interacts_with(invertebrate,reptile) 5
affects(physiologic_function,biologic_function) 2
location_of(tissue,genetic_function) 5
produces(pathologic_function,body_substance) 5
location_of(body_part_organ_or_organ_component,acquired_abnormality) 3
measures(research_activity,pharmacologic_substance) 5
measures(molecular_biology_research_technique,natural_phenomenon_or_process) -1
result_of(organism_attribute,cell_or_molecular_dysfunction) 2
part_of(congenital_abnormality,vertebrate) 5
process_of(cell_or_molecular_dysfunction,disease_or_syndrome) 3
method_of(laboratory_procedure,therapeutic_or_preventive_procedure) -1
affects(biomedical_or_dental_material,neoplastic_process) 2
process_of(molecular_function,invertebrate) 4
causes(inorganic_chemical,pathologic_function) 5
manifestation_of(laboratory_or_test_result,mental_or_behavioral_dysfunction) 3
affects(anatomical_abnormality,organ_or_tissue_function) 5
location_of(body_part_organ_or_organ_component,genetic_function) 5
causes(chemical_viewed_structurally,anatomical_abnormality) 5
affects(congenital_abnormality,plant) 5
affects(molecular_function,bacterium) 2
location_of(tissue,organ_or_tissue_function) 5
